module_code,word,phonetic,meaning,example
"cet4","accelerate","/ək'seləreit | ək'seləreɪt | əkˈsɛləˌret/","v. 加速","measures to accelerate the rate of economic growth"
"cet4","acceleration","/ək,selə'reiʃən | əkselə'reɪʃ(ə)n | ək'sɛlə'reʃən/","n. 加速；加速度","The latest model has excellent acceleration."
"cet4","accent","/'æksənt, æk'sent | 'æks(ə)nt; -sent | 'æksɛnt/","n. 口音，腔调；重音","He had a strong Irish accent"
"cet4","accept","/ək'sept | ə'ksept | ækˈsɛpt; əkˈsɛpt/","v. 接受；同意","Rick accepted her offer of coffee."
"cet4","acceptable","/ək'septəbl | ək'septəb(ə)l | ək'sɛptəbl/","adj. 可接受的，合意的","Students who achieve an acceptable standard will progress to degree studies."
"cet4","acceptance","/ək'septəns | ək'sept(ə)ns | ək'sɛptəns/","n. 接受，验收；承认","He wrote a letter of acceptance (= a letter in which you agree to accept a job, university place etc ) to the university."
"cet4","access","/'ækses, 'æksəs, æk'ses | 'ækses | 'æksɛs/","v. 获取; n. 接近，入口","Users can access their voice mail remotely."
"cet4","accessary","/ək'sesəri | ək'sesərɪ | æk'sɛsəri/","n. 同谋，从犯",""
"cet4","accessible","/ək'sesəbl | əkˈsesəbl | ək'sɛsəbl/","adj. 易接近的","The island is only accessible by boat."
"cet4","accident","/'æksidənt | 'æksɪdənt | 'æksədənt/","n. 意外的；事故","Over 70,000 people are seriously injured every year in road accidents."
"cet4","accidental","/,æksi'dentəl | æksɪ'dent(ə)l | ,æksɪ'dɛntl/","adj. 偶然的；非本质的","an accidental discharge of toxic waste"
"cet4","accommodate","/ə'kɔmədeit | ə'kɒmədeɪt | ə'kɑmədet/","v. 适合， 提供住宿","The island was used to accommodate child refugees."
"cet4","accommodation","/ə,kɔmə'deiʃən | əkɒmə'deɪʃ(ə)n | ə,kɑmə'deʃən/","n. 招待设备；预定铺位","...people rented accommodation from a service that offers 250..."
"cet4","accompany","/ə'kʌmpəni | əˈkʌmpəni/","v. 陪伴","Children under 14 must be accompanied by an adult."
"cet4","accomplish","/ə'kʌmpliʃ, ə'kɔm- | ə'kʌmplɪʃ | ə'kɑmplɪʃ/","v. 完成","We have accomplished all we set out to do."
"cet4","accord","/ə'kɔ:d | ə'kɔːd | ə'kɔrd/","v. 使一致；给予","You will not be accorded any special treatment."
"cet4","accordance","/ə'kɔ:dəns | ə'kɔːd(ə)ns | ə'kɔrdns/","n. 一致；和谐；授予","I am in accordance with him in this matter."
"cet4","according","/ə'kɔːdɪŋ | ə'kɔrdɪŋ/","adj. 相等的， 一致的， 依…而定的","...according to a new report..."
"cet4","accordingly","/ə'kɔ:diŋli | ə'kɔːdɪŋlɪ | ə'kɔrdɪŋli/","adv. 因此，所以；照着","Some of the laws were contradictory. Accordingly, measures were taken to clarify them."
"cet4","account","/ə'kaʊnt/","n. 记述；解释；帐目","The accounts for last year showed a profit of $2 million."
"cet4","accountancy","/ə'kauntənsi | ə'kaʊntənsi/","n. 会计工作； 会计学","He is studying accountancy or he is an accountancy student."
"cet4","accountant","/ə'kauntənt | ə'kaʊntənt/","n. 会计人员， 会计师","Do you want me to invite your accountant to this meeting?"
"cet4","accumulate","/ə'kju:mjuleit | ə'kju:mjəleɪt | ə'kjumjəlet/","v. 积累，增加","It is unjust that a privileged few should continue to accumulate wealth."
"cet4","accuracy","/'ækjurəsi | 'ækjʊrəsɪ | 'ækjərəsi/","n. 准确(性)；准确度","He passes the ball with unerring accuracy."
"cet4","accurate","/'ækjurət | 'ækjʊrət | 'ækjərət/","adj. 精确的，准确的","The brochure tries to give a fair and accurate description of each hotel."
"cet4","accusation","/ˌækju'zeɪʃn | ,ækju'zeʃən/","n. 谴责； 【律】 指控","The main accusation levelled against him was that he tried to avoid military service."
"cet4","accuse","/ə'kju:z | ə'kjuːz | ə'kjuz/","v. 指责；归咎于","The professor stands accused of (= has been accused of ) stealing his student’s ideas and publishing them."
"cet4","accustom","/ə'kʌstəm/","v. 使习惯","She tried to accustom herself to the tight bandages."
"cet4","accustomed","/ə'kʌstəmd/","adj. 惯常的；习惯的","The pans were in their accustomed places."
"cet4","ache","/eik | eɪk | ek/","v. 痛；想念; n. 疼痛","His feet were aching from standing so long."
"cet4","achieve","/ə'tʃiːv | ə'tʃiv/","v. 完成，实现","Frances achieved very good exam results."
"cet4","achievement","/ə'tʃiːvm(ə)nt | ə'tʃivmənt/","n. 完成；成就，成绩","His great achievement is to make all the players into a united team."
"cet4","acid","/'æsid | 'æsɪd/","n. 酸；酸的，酸性的","sulphuric acid"
"cet4","acknowledge","/ək'nɔlidʒ | ək'nɑlɪdʒ/","v. 承认(…的权威)","The family acknowledge the need for change."
"cet4","acquaint","/ə'kweɪnt | ə'kwent/","vt. 使认识， 使了解","Have steps been taken to acquaint breeders with their right to apply for licenses?"
"cet4","acquaintance","/ə'kweintəns | ə'kweɪnt(ə)ns | ə'kwentəns/","n. 认识；了解；熟人","She was a casual acquaintance of my family in Vienna."
"cet4","acquire","/ə'kwaiə | ə'kwaɪə | ə'kwaɪr/","v. 获得","Manning hoped to acquire valuable works of art as cheaply as possible."
"cet4","acquisition","/ˌækwɪ'zɪʃn | ,ækwɪ'zɪʃən/","n. 取得， 获得， 习得； 获得物， 增添的人","the acquisition of language"
"cet4","acre","/'eikə | 'eɪkə | 'ekɚ/","n. 英亩(=607亩)","They own 200 acres of farmland."
"cet4","across","/ə'krɔs, ə'krɔ:s | ə'krɒs | ə'krɔs/","prep. 横过；在…对面","...The company's self-driving cars have done well over a million miles across various states in the US..."
"cet4","act","/ækt/","v. 行动；见效; n. 行为","The company acted correctly in sacking him."
"cet4","action","/'ækʃən | 'ækʃ(ə)n/","n. 行动；作用；功能","The government must take action (= do something ) now to stop the rise in violent crime."
"cet4","active","/'æktiv | 'æktɪv/","adj. 活跃的；积极的","games for active youngsters"
"cet4","activity","/æk'tivəti | æk'tɪvɪtɪ | æk'tɪviti/","n. 活动；活力；行动","Everyone is free to engage in peaceful political activity."
"cet4","actor","/'æktə | 'æktɚ/","n. 男演员；演剧的人","His father was an actor in the Cantonese Opera Company."
"cet4","actress","/'æktris | 'æktrɪs/","n. 女演员","She's not only a great dramatic actress but she's also very funny."
"cet4","actual","/'æktʃuəl | 'æktʃʊəl; -tjʊəl/","adj. 实际的；现行的","I’m not joking. Those were his actual words."
"cet4","actually","/'æktjʊəlɪ; -tʃʊ- | 'æktʃuəli/","adv. 实际上；竟然","I’ve known Barbara for years. Since we were babies, actually."
"cet4","acute","/ə'kju:t | ə'kjuːt | ə'kjut/","adj. 敏锐的","Young children have a particularly acute sense of smell."
"cet4","ad","/æd | 'e 'di/","n. 广告","She replied to a lonely hearts ad she spotted in the New York Times."
"cet4","adapt","/ə'dæpt/","v. 适应于","The ability to adapt is a definite asset in this job."
"cet4","add","/æd/","v. 添加，附加，掺加","If the mixture seems dry, add water."
"cet4","addiction","/ə'dikʃən | ə'dɪkʃən/","n. 上瘾","She helped him fight his drug addiction."
"cet4","addition","/ə'diʃən | ə'dɪʃ(ə)n | ə'dɪʃən/","n. 加，加法；附加物","This is a fine book; a worthy addition to the series."
"cet4","additional","/ə'diʃənəl | ə'dɪʃənl/","adj. 额外的","Additional information can be obtained from the centre."
"cet4","address","/ə'dres | ə'drɛs/","v. 解决","...some countries have taken measures to address the effects of the global crisis..."
"cet4","adequate","/'ædikwit | ˈædɪkwət/","adj. 足够的","Farmers have been slow to make adequate provision for their retirement."
"cet4","adjective","/'ædʒiktiv | 'ædʒɪktɪv/","n. 形容词; adj. 形容词的","In “the black cat” the adjective “black”modifies the noun “cat”."
"cet4","adjust","/ə'dʒʌst/","v. 调整，调节；校正","Check and adjust the brakes regularly."
"cet4","administration","/əd,mini'streiʃən | ədmɪnɪ'streɪʃ(ə)n | əd,mɪnɪ'streʃən/","n. 管理，政府","We’re looking for someone with experience in administration."
"cet4","administrative","/əd'ministrətiv | ədˈmɪnɪstrətɪv | əd'mɪnɪstretɪv/","adj. 管理的","The job is mainly administrative."
"cet4","admiration","/,ædmə'reiʃən | ædmə'reɪʃ(ə)n | ,ædmə'reʃən/","n. 钦佩，称赞","Daniel gazed at her in admiration ."
"cet4","admire","/əd'maiə | ədˈmaɪr/","v. 钦佩，称赞","I really admire the way she brings up those kids all on her own."
"cet4","admission","/əd'miʃən | əd'mɪʃən/","n. 准许进(加)入；入场费；承认","Reese, by his own admission , lacks the necessary experience."
"cet4","admit","/əd'mit | əd'mɪt/","v. 承认，容许","‘Okay, so maybe I was a little bit scared,’ Jenny admitted."
"cet4","adopt","/ə'dɔpt | ə'dɒpt | ə'dɑpt/","v. 收养；采用；采取","Sally was adopted when she was four."
"cet4","adoptive","/ə'dɒptɪv | ə'dɑptɪv/","adj. 收养关系的； 采用的","He was brought up by adoptive parents in Kentucky."
"cet4","adult","/'ædʌlt, ə'dʌlt | 'ædʌlt; ə'dʌlt | 'ædʌlt/","n. 成年人; adj. 成年的","Some children find it difficult to talk to adults."
"cet4","advance","/əd'vɑ:ns, əd'væns | əd'vɑ:ns | əd'væns/","v & n. 前进，提前","I should warn you in advance that I’m not a very good dancer."
"cet4","advanced","/əd'vɑ:nst, -'vænst | ədˈvɑ:nst | əd'vænst/","adj. 高级的","advanced learners of English"
"cet4","advancement","/əd'vɑ:nsmənt, əd'væns- | əd'vɑːnsm(ə)nt | əd'vænsmənt/","n. 进步，提升","career advancement"
"cet4","advantage","/əd'vɑ:ntidʒ, əd'væn- | əd'vɑːntɪdʒ | əd'væntɪdʒ/","n. 优点，优势；好处","Younger workers tend to be at an advantage (= have an advantage ) when applying for jobs."
"cet4","adventure","/əd'ventʃə, æd- | əd'ventʃə | əd'vɛntʃɚ/","n. 冒险；惊险活动","Come on – where’s your sense of adventure?"
"cet4","adverb","/'ædvə:b | 'ædvɜːb | 'ædvɝb/","n. 副词","Will you please compare the adverb “well”?"
"cet4","adversity","/əd'və:səti | ədˈvɜ:səti | əd'vɝsəti/","n. 逆境，不幸","his courage in the face of adversity"
"cet4","advertise","/'ædvətaɪz | 'ædvɚtaɪz/","vt. 为…做广告， 宣传； 公告； 登广告","They no longer advertise alcohol or cigarettes at sporting events."
"cet4","advertisement","/əd'və:tismənt, ,ædvə'taizmənt | əd'vɜːtɪzm(ə)nt; -tɪs- | ,ædvɚ'taɪzmənt/","n. 广告；公告；登广告","They put an advertisement in ‘The Morning News’, offering a high salary for the right person."
"cet4","advice","/əd'vais | ədˈvaɪs | ædˈvaɪs; əd'vaɪs/","n. 建议","You should have followed my advice."
"cet4","advisable","/əd'vaizəbl | əd'vaɪzəb(ə)l | əd'vaɪzəbl/","n. 明智的；可取的","I deem it advisable to buy property now."
"cet4","advise","/əd'vaiz | əd'vaɪz/","v. 劝告；建议；通知","She needed someone to advise her."
"cet4","advisory","/əd'vaizəri | əd'vaɪzərɪ | əd'vaɪzəri/","n. 报告","The State Department issues travel advisories about conditions overseas."
"cet4","advocate","/'ædvəkeit, 'ædvəkət | 'ædvəkeɪt | ˈædvəkeɪt；-et/","n & v. 倡导","Mr. Williams is a conservative who advocates fewer government controls on business."
"cet4","advocator","/'ædvəkeitə | 'ædvəkeɪtə/","n. 主张者，倡导者",""
"cet4","aeroplane","/'εərəplein | 'eərəpleɪn | 'ɛrə'plen/","n. 飞机","The aeroplane landed us at the airport in Barcelona."
"cet4","affair","/ə'fεə | ə'feə | ə'fɛr/","n. 事情，事件；事务","Are you interested in world affairs?"
"cet4","affect","/ə'fekt, 'æfekt | ə'fekt | ə'fɛkt/","v. 影响；感动","the areas affected by the hurricane"
"cet4","affection","/ə'fekʃən | ə'fekʃ(ə)n | ə'fɛkʃən/","n. 慈爱，爱；爱慕","She looked back on those days with affection ."
"cet4","affectionate","/ə'fekʃ(ə)nət | ə'fɛkʃənət/","adj. 深情的，柔情的","an affectionate hug"
"cet4","affirm","/ə'fə:m | ə'fɜːm | ə'fɝm/","v. 断言，声明","The general affirmed rumors of an attack."
"cet4","affirmation","/,æfə'meiʃən | ,æfə:'meiʃən | ,æfɚ'meʃən/","n. 断言，肯定","On the other hand, when he/she is being positive, reply in affirmation and enthusiasm."
"cet4","afford","/ə'fɔ:d | ə'fɔːd | ə'fɔrd/","v. 负担得起","I couldn’t afford the rent on my own."
"cet4","afraid","/ə'freid | ə'freɪd | ə'fred/","adj. 害怕的；担心的","There’s no need to be afraid."
"cet4","Africa","/'æfrikə | 'æfrɪkə | ˈæfrɪkə/","n. 非洲","The giraffe ranges in Africa."
"cet4","African","/'æfrikən | 'æfrɪk(ə)n | 'æfrɪkən/","adj. 非洲的; n. 非洲人","...the African continent."
"cet4","after","/'ɑ:ftə, 'æf- | 'ɑːftə | 'æftɚ/","prep. 在…以后；次于","After the war many soldiers stayed in France."
"cet4","afternoon","/,ɑ:ftə:'nu:n, ,æf-, 'ɑ:ftə'nu:n, 'æf- | ɑːftə'nuːn | ,æftɚ'nun/","n. 下午，午后","There’s a meeting on Thursday afternoon ."
"cet4","afterward","/'ɑ:ftəwəd, 'æf- | 'ɑːftəwəd | ˈæftərwərd/","adv. 后来，以后","Shortly afterward, police arrested four suspects."
"cet4","again","/ə'gen; ə'geɪn | ə'ɡɛn/","adv. 又一次；而且","Can you say that again? I didn’t hear."
"cet4","against","/ə'genst; ə'geɪnst | ə'ɡɛnst/","prep. 倚在；逆，对着","There was a ladder propped up against the wall."
"cet4","age","/eidʒ | eɪdʒ | edʒ/","n. 年龄；时代; v. 变老","Francis is the same age as me."
"cet4","agency","/'eidʒənsi | 'eɪdʒənsɪ | 'edʒənsi/","n. 机构","a UN agency responsible for helping refugees"
"cet4","agenda","/ə'dʒendə | ə'dʒɛndə/","n. 议事日程","The Republicans have stuck to their conservative agenda."
"cet4","agent","/'eidʒənt | 'eɪdʒ(ə)nt | 'edʒənt/","n. 代理商","Our agent in Rio deals with all our Brazilian business."
"cet4","aggressive","/ə'ɡresiv | ə'gresɪv | ə'ɡrɛsɪv/","adj. 挑衅的，好斗的；有上进心的","Jim’s voice became aggressive."
"cet4","ago","/ə'ɡəu | ə'gəʊ | ə'ɡo/","adv. 以前","They moved to a new house some time ago (= a fairly long time ago ) ."
"cet4","agony","/'æɡəni | 'ægənɪ/","n. 极度痛苦","the agony of arthritis"
"cet4","agree","/ə'griː | ə'ɡri/","v. 同意；持相同意见","Teenagers and their parents rarely agree."
"cet4","agreement","/ə'ɡri:mənt | ə'griːm(ə)nt | ə'grimənt/","n. 协定，协议；同意","It is easier for two parties to reach agreement than for three."
"cet4","agriculture","/'ægrɪkʌltʃə | 'æɡrɪkʌltʃɚ/","n. 农业，农艺；农学","More than 75% of the land is used for agriculture."
"cet4","ahead","/ə'hed | ə'hɛd/","adv. 在前；向前；提前","He kept his gaze fixed on the car ahead."
"cet4","aid","/eid | eɪd | ed/","n. 帮助，救护；助手","Foreign aid from many countries poured into the famine area."
"cet4","aim","/eɪm | em/","v. 瞄准，针对；致力","Denver aimed his gun but did not shoot."
"cet4","air","/εə | eə | ɛr/","n. 空气；空中；外观","Let’s go outside and get some fresh air."
"cet4","aircraft","/'εəkrɑ:ft | 'eəkrɑːft | 'ɛr'kræft/","n. 飞机，飞行器","The return flight of the aircraft was delayed."
"cet4","airline","/'εəlain | 'eəlaɪn | 'ɛrlaɪn/","n. 航空公司；航线","an airline pilot"
"cet4","airplane","/'εəplein | 'eəpleɪn | ˈerpleɪn/","n. 飞机","The airplane cracked up in landing."
"cet4","airport","/'εəpɔ:t | 'eəpɔːt | 'ɛr'pɔrt/","n. 机场，航空站","The plane landed at Heathrow Airport."
"cet4","alarm","/ə'lɑːm | ə'lɑrm/","n. 惊恐，忧虑；警报","I forgot to set the burglar alarm."
"cet4","album","/'ælbəm/","n. 粘贴簿，集邮簿，像册","a photograph album"
"cet4","alcohol","/'ælkəhɔl | 'ælkəhɒl/","n. 酒精","I don’t drink alcohol anymore."
"cet4","alert","/ə'lə:t | ə'lɜːt | ə'lɝt/","v. 提醒；; adj. 机警的","The animal raised its head, suddenly alert."
"cet4","alike","/ə'laik | ə'laɪk/","adj. 同样的，相同的","My mother and I are alike in many ways."
"cet4","alive","/ə'laiv | ə'laɪv/","adj. 活着的；活跃的","It was a bad accident – they’re lucky to be alive."
"cet4","all","/ɔ:l | ɔːl | ɔl/","adj. 全部的; prep. 全部","...Don’t you remember all those things we used to believe when we were little..."
"cet4","alliance","/ə'laɪəns/","n. 结盟， 联盟","independent organizations and alliances"
"cet4","allocate","/'æləkeɪt | 'æləket/","vt. 分配， 分派， 把…拨给","Tickets are limited and will be allocated to those who apply first."
"cet4","allow","/ə'lau | ə'laʊ/","v. 允许，准许；任","We don’t allow diving in the pool."
"cet4","allowance","/ə'lauəns | ə'laʊəns/","n. 津贴， 补贴； 零用钱","Sales staff get a generous mileage allowance or a company car."
"cet4","alloy","/'ælɔi, ə'lɔi | 'ælɒɪ | 'ælɔɪ/","n. 合金；(金属的)成色","Brass is an alloy of copper and zinc."
"cet4","ally","/'ælaɪ/","v. 结盟， 联合; n. 同盟国， 同盟者； 支持者","He will have no choice but to ally himself with the new movement."
"cet4","almost","/'ɔ:lməust | 'ɔːlməʊst | 'ɔlmost/","adv. 几乎，差不多","Have you almost finished?"
"cet4","alone","/ə'ləun | ə'ləʊn | ə'lon/","adj. 单独的; adv. 单独地","She lives alone ."
"cet4","along","/ə'lɔŋ | ə'lɒŋ/","prep. 沿着; adv. 向前","We were driving along Follyfoot Road."
"cet4","alongside","/əˌlɒŋ'saɪd | ə'lɔŋ'saɪd/","adv. 在旁边，沿着边，并排地; prep. 在…旁边， 沿着…的边； 和…在一起","A car drew up alongside ."
"cet4","aloud","/ə'laud | ə'laʊd/","adv. 出声地，大声地","When we were children, our father read aloud to us."
"cet4","alphabet","/'ælfəbet | 'ælfə'bɛt/","n. 字母表，字母系统","The modern Russian alphabet has 31 letters."
"cet4","already","/ɔ:l'redi | ɔːl'redɪ | ɔl'rɛdi/","adv. 早已，已经","The design of the new house is similar to those that have already been built."
"cet4","also","/'ɔ:lsəu | 'ɔːlsəʊ | 'ɔlso/","adv. 亦，也；而且，还","Information is also available on women’s health care."
"cet4","alter","/'ɔ:ltə | 'ɔ:ltə(r) | 'ɔltɚ/","v. 改变","Her face hadn’t altered much over the years."
"cet4","alternative","/ɔ:l'tə:nətiv | ɔ:lˈtɜ:nətɪv | ɔl'tɝnətɪv/","n. 代替品","New ways to treat arthritis may provide an alternative to painkillers."
"cet4","although","/ɔːl'ðəʊ; ɒl- | ɔl'ðo/","conj. 尽管，虽然","Although in poor health, she continued to carry out her duties."
"cet4","altitude","/'ælti,tju:d | 'æltɪtud/","n. 海拔, 高度","The aircraft had reached its cruising altitude of about 39,000 feet."
"cet4","altogether","/,ɔ:ltə'ɡeðə | ɔːltə'geðə; ɒl- | ,ɔltə'ɡɛðɚ/","adv. 完全；总而言之","an old custom that has vanished altogether"
"cet4","aluminium","/,ælju'minjəm | æl(j)ʊ'mɪnɪəm | ,æljə'mɪnɪəm/","n. 铝","recycled aluminium cans"
"cet4","always","/'ɔ:lweiz, -wiz | 'ɔːlweɪz; -ɪz | 'ɔlwez/","adv. 总是，一直；永远","Always lock your bicycle to something secure."
"cet4","amateur","/'æmətə | ˈæmətər/","adj. 业余爱好的， 业余的； 外行的; n. 业余爱好者；外行","...professional athletes and amateur runners."
"cet4","amaze","/ə'meiz | ə'meɪz | ə'mez/","v. 使吃惊","Dave amazed his friends by suddenly getting married."
"cet4","ambassador","/æm'bæsədə | æm'bæsədɚ/","n. 大使， 使节， 派驻国际组织的代表","...the German ambassador to Poland."
"cet4","ambition","/æm'biʃən | æm'bɪʃ(ə)n | æm'bɪʃən/","n. 雄心，抱负，野心","He was young and full of ambition."
"cet4","ambitious","/æm'biʃəs | æm'bɪʃəs/","adj. 有雄心的，野心勃勃的","Alfred was intensely ambitious, obsessed with the idea of becoming rich."
"cet4","ambulance","/'æmbjuləns | 'æmbjʊl(ə)ns | 'æmbjələns/","n. 救护车；野战医院","the ambulance service"
"cet4","America","/ə'merikə | ə'merɪkə | əˈmɛrɪkə/","n. 美洲；美国","I may go to America or I may not,it all depends."
"cet4","American","/əmerɪkən | əˈmɛrɪkən/","adj. 美洲的; n. 美国人","Her mother is American."
"cet4","amid","/ə'mɪd/","prep. 在…中间， 在…之中， 被…围绕","He sat amid the trees."
"cet4","among","/ə'mʌŋ/","prep. 在…之中","The girl quickly disappeared among the crowd."
"cet4","amongst","/ə'mʌŋst/","prep. 在…之中(=among)","Here in Trinity it is right that I should give you an account of how he lived amongst you during these years of his greatest achievement."
"cet4","amount","/ə'maunt | ə'maʊnt/","n. 总数；数量；和","Please pay the full amount (= of money ) by the end of the month."
"cet4","ampere","","n. 安培","And I prefer to an ampere meter being made of aluminum even though it has analog to another one."
"cet4","amplify","/'æmplifai | 'æmplɪfaɪ/","v. 放大，增强；扩大","an amplified guitar"
"cet4","amuse","/ə'mju:z | ə'mjuːz | ə'mjuz/","v. 逗…乐；给…娱乐","Doing jigsaws would amuse Amy for hours on end."
"cet4","amusing","/ə'mju:ziŋ | ə'mjuːzɪŋ | ə'mjuzɪŋ/","adj. 有趣的，好玩儿的","I don’t find his jokes at all amusing ."
"cet4","analyse","/'ænəlaiz | 'æn(ə)laɪz/","v. 分析，分解，解析","She still needs to analyse the data."
"cet4","analysis","/ə'næləsis | ə'nælɪsɪs | ə'næləsɪs/","n. 分析，分解，解析","She’s been in analysis for three years."
"cet4","analyze","/'ænəlaiz | 'ænə,laɪz/","v. 分析","How do you analyze this change?"
"cet4","ancestor","/'ænsestə | 'ænsɛstɚ/","n. 祖宗，祖先","My ancestors were French."
"cet4","anchor","/'æŋkə | 'æŋkɚ/","n. 锚; v. 抛锚，停泊","We dropped anchor a few yards offshore."
"cet4","ancient","/'einʃənt | 'eɪnʃənt | ˈeɪnʃənt/","adj. 古代的","the ancient civilizations of Asia"
"cet4","and","/ənd; (ə)n; ænd | ənd, ən,ænd/","conj. 和，又，并，则","He’s gone to get some fish and chips."
"cet4","angel","/'eindʒəl | 'eɪndʒ(ə)l | 'endʒl/","n. 天使，神差，安琪儿","the angel Gabriel"
"cet4","anger","/'æŋɡə | 'æŋgə | 'æŋɡɚ/","n. 怒，愤怒; v. 使发怒","There is growing anger among the people against the government."
"cet4","angle","/'æŋg(ə)l | 'æŋɡl/","n. 角，角度","You didn’t measure the angle accurately."
"cet4","angry","/'æŋɡri | 'æŋgrɪ/","adj. 愤怒的，生气的","I was angry because he hadn’t told me his plans."
"cet4","animal","/'æniməl | 'ænɪm(ə)l | 'ænɪml/","n. 动物，兽; adj. 动物的","furry little animals"
"cet4","ankle","/'æŋkl | 'æŋk(ə)l/","n. 踝，踝节部","slender ankles"
"cet4","anniversary","/ˌænɪ'vɜːsəri | ,ænɪ'vɝsəri/","n. 周年纪念日","Jack and Kim celebrated their twentieth wedding anniversary in January."
"cet4","announce","/ə'nauns | ə'naʊns/","v. 宣布，声称","They announced their engagement in ‘The Times’."
"cet4","announcer","/ə'naunsə | ə'naʊnsə | ə'naʊnsɚ/","n. 宣告者；播音员","The radio announcer said it was nine o'clock."
"cet4","annoy","/ə'nɔi | ə'nɒɪ | ə'nɔɪ/","v. 使反感，厌烦","Try making a note of the things that annoy you."
"cet4","annual","/'ænjuəl/","adj. 每年的","The school trip has become an annual event."
"cet4","annually","/'ænjuəli | 'ænjʊəlɪ/","adv. 每年，一年一次","This is a perennating rhizome from which flowering shoots arise annually."
"cet4","anonymous","/ə'nɒnɪməs | ə'nɑnəməs/","adj. 匿名的； 无名的； 无特色的","the anonymous author of a collection of poems"
"cet4","another","/ə'nʌðə | ə'nʌðɚ/","adj. 再一个的；别的","Can you cite another case like this one?"
"cet4","answer","/'ɑ:nsə, 'æn- | 'ɑːnsə | 'ænsɚ/","v. 回答；响应；适应","She thought for a moment before answering."
"cet4","ant","/ænt/","n. 蚂蚁","Ants swarmed up out of the ground and covered her shoes and legs."
"cet4","anticipate","/æn'tisipeit | æn'tɪsɪpeɪt | æn'tɪsə'pet/","v. 预感","Sales are better than anticipated."
"cet4","antique","/æn'ti:k | æn'tik/","n. 古玩，古董","The palace is full of priceless antiques."
"cet4","anxiety","/æŋ'zaiəti | æŋ'zaɪətɪ | æŋ'zaɪəti/","n. 焦虑，忧虑；渴望","his feelings of anxiety"
"cet4","anxious","/'ænkʃəs | 'æŋ(k)ʃəs | 'æŋkʃəs/","adj. 忧虑的；渴望的","She gave me an anxious look."
"cet4","any","/'eni | 'enɪ | 'ɛni/","adj. 什么，一些；任何的","We could not reason out which way the robbers escaped, because we were unable to find any trace of them."
"cet4","anybody","","prep. 任何人","You should have a try, don't swallow anybody."
"cet4","anyhow","/'enihau | 'enɪhaʊ | 'ɛnɪ'haʊ/","adv. 无论如何","You know nothing about her really, or about yourself in relation to her, and anyhow it's only one of those things and therefore it's of no importance."
"cet4","anyone","/'enɪwʌn | 'ɛnɪ'wʌn/","pron. 任何人","Anyone could win tonight."
"cet4","anything","/'eniθiŋ | 'enɪθɪŋ | 'ɛnɪ'θɪŋ/","pron. 任何事物；一切","You can buy anything you want."
"cet4","anyway","/'eniwei | 'enɪweɪ | 'ɛnɪ'we/","adv. 无论如何","...But anyway I'll send him an email to request a meeting..."
